epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.004,1.37909,1.65042,1.458,0.93832,0.78385,0.82131,0.53536,1.28327,1.43621,1.39332,0.000659004,0.000659004,0.000659004
2,478.573,1.22346,1.1671,1.30731,0.96478,0.81473,0.85116,0.58181,1.13652,1.20074,1.29807,0.00127317,0.00127317,0.00127317
3,735.19,1.16049,1.02873,1.25957,0.96712,0.77435,0.83573,0.46941,1.45953,1.09559,1.50069,0.00183454,0.00183454,0.00183454
4,1002.21,1.17496,0.97832,1.26792,0.98564,0.81545,0.85768,0.57101,1.17557,0.85843,1.27986,0.0017624,0.0017624,0.0017624
5,1271.72,1.10414,0.88103,1.22616,0.9859,0.83034,0.87393,0.64638,0.99386,0.82803,1.17931,0.0016832,0.0016832,0.0016832
6,1540.17,1.05938,0.83566,1.20655,0.9901,0.8361,0.893,0.63977,1.00993,0.74814,1.18775,0.001604,0.001604,0.001604
7,2100.01,1.02988,0.79797,1.18774,0.9914,0.8215,0.88566,0.66043,0.94726,0.66095,1.15484,0.0015248,0.0015248,0.0015248
8,2359.77,0.97859,0.75128,1.15364,0.98964,0.82898,0.89697,0.6974,0.85537,0.65957,1.09447,0.0014456,0.0014456,0.0014456
9,2629.32,0.95315,0.74229,1.14046,0.98823,0.8361,0.89641,0.6267,1.06456,0.68751,1.19875,0.0013664,0.0013664,0.0013664
10,3575.2,0.96945,0.7364,1.15493,0.98803,0.83848,0.9005,0.69514,0.84915,0.61906,1.08537,0.0012872,0.0012872,0.0012872
11,3817.01,0.93153,0.7011,1.13372,0.97342,0.83848,0.89181,0.69612,0.83789,0.63444,1.07524,0.001208,0.001208,0.001208
12,4086.14,0.93811,0.69028,1.12469,0.98728,0.84323,0.90335,0.69924,0.85596,0.61067,1.08179,0.0011288,0.0011288,0.0011288
13,4367.36,0.88173,0.6614,1.10387,0.9887,0.8361,0.90063,0.66113,0.93193,0.61518,1.12099,0.0010496,0.0010496,0.0010496
14,4645.65,0.87608,0.66334,1.10812,0.99431,0.84086,0.8996,0.70813,0.80862,0.57617,1.06455,0.0009704,0.0009704,0.0009704
15,4960.42,0.84782,0.63624,1.08795,0.98597,0.84323,0.91024,0.72468,0.75853,0.54383,1.03171,0.0008912,0.0008912,0.0008912
16,5263.2,0.72435,0.55334,1.02704,0.98075,0.84694,0.90519,0.7218,0.77252,0.57098,1.05027,0.000812,0.000812,0.000812
17,5576.59,0.73585,0.54363,1.03375,0.99423,0.8361,0.91572,0.729,0.73857,0.54167,1.02514,0.0007328,0.0007328,0.0007328
18,5885.23,0.6938,0.51793,1.01364,0.98419,0.85036,0.90942,0.74037,0.72525,0.54945,1.01617,0.0006536,0.0006536,0.0006536
19,6192.08,0.66914,0.48405,1.00143,0.99348,0.83848,0.90894,0.71785,0.79014,0.56645,1.05277,0.0005744,0.0005744,0.0005744
20,6502.09,0.66247,0.48789,0.98672,0.98888,0.8446,0.90954,0.73253,0.72819,0.55508,1.0295,0.0004952,0.0004952,0.0004952
21,6790.95,0.62767,0.44844,0.96937,0.97541,0.84811,0.91752,0.74725,0.70359,0.51458,1.00845,0.000416,0.000416,0.000416
22,7055.62,0.61097,0.44343,0.95814,0.99301,0.83848,0.91558,0.73832,0.73871,0.5425,1.03001,0.0003368,0.0003368,0.0003368
23,7316.31,0.59706,0.42941,0.95862,0.96358,0.86223,0.92111,0.76237,0.6988,0.50956,1.00193,0.0002576,0.0002576,0.0002576
24,7577.64,0.58066,0.40968,0.94023,0.97794,0.85273,0.92085,0.76361,0.66693,0.49252,0.98671,0.0001784,0.0001784,0.0001784
25,7840.96,0.55706,0.4067,0.93698,0.98889,0.84535,0.92097,0.77118,0.66272,0.49019,0.98797,9.92e-05,9.92e-05,9.92e-05
