epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.283,1.26479,1.39973,1.35997,0.98607,0.84576,0.88392,0.63743,1.03621,0.95783,1.19012,0.000662879,0.000662879,0.000662879
2,1073.91,1.07708,0.95188,1.22711,0.96964,0.83751,0.899,0.68402,0.8914,0.85333,1.11817,0.0012769,0.0012769,0.0012769
3,1620.17,1.04907,0.84822,1.20837,0.97888,0.85066,0.90494,0.64648,0.99633,0.71969,1.19461,0.00183811,0.00183811,0.00183811
4,2172.03,0.99391,0.77162,1.17662,0.97751,0.8399,0.91196,0.72207,0.80742,0.68073,1.07161,0.0017624,0.0017624,0.0017624
5,2727.37,0.93273,0.72322,1.14502,0.98214,0.84229,0.91841,0.72159,0.82931,0.6143,1.08104,0.0016832,0.0016832,0.0016832
6,3385.03,0.89582,0.67603,1.12653,0.97316,0.87097,0.92912,0.72931,0.78807,0.53561,1.0362,0.001604,0.001604,0.001604
7,3993.63,0.86118,0.64667,1.10412,0.98262,0.86141,0.92737,0.75655,0.72388,0.52926,1.02796,0.0015248,0.0015248,0.0015248
8,4559.89,0.83811,0.64547,1.10212,0.98375,0.86141,0.92931,0.73537,0.83456,0.54977,1.06565,0.0014456,0.0014456,0.0014456
9,5148.82,0.82538,0.61907,1.09026,0.96947,0.87272,0.92825,0.77587,0.63516,0.49883,0.98233,0.0013664,0.0013664,0.0013664
10,5691.77,0.80945,0.60819,1.0827,0.97342,0.87512,0.93416,0.78468,0.64763,0.47417,0.97825,0.0012872,0.0012872,0.0012872
11,6248.06,0.77608,0.58175,1.06951,0.98227,0.8626,0.93384,0.75325,0.71185,0.50451,1.02077,0.001208,0.001208,0.001208
12,6822.67,0.76369,0.57595,1.06049,0.99181,0.86856,0.93812,0.78545,0.63512,0.45606,0.97723,0.0011288,0.0011288,0.0011288
13,7387.41,0.75282,0.55394,1.05093,0.97932,0.88053,0.94179,0.79375,0.61677,0.42994,0.96981,0.0010496,0.0010496,0.0010496
14,7950.73,0.72724,0.54829,1.04011,0.97481,0.8853,0.94057,0.78252,0.64425,0.44156,0.97437,0.0009704,0.0009704,0.0009704
15,8493.69,0.70786,0.52955,1.03377,0.98391,0.87675,0.94518,0.80635,0.58844,0.43521,0.95525,0.0008912,0.0008912,0.0008912
16,9038.5,0.58481,0.43419,0.95649,0.98784,0.87333,0.94616,0.80167,0.61733,0.44551,0.95478,0.000812,0.000812,0.000812
17,10127.7,0.58425,0.42548,0.95852,0.96761,0.89367,0.94362,0.78397,0.68508,0.43781,0.98388,0.0007328,0.0007328,0.0007328
18,10622.2,0.54751,0.40222,0.93725,0.96296,0.90088,0.94884,0.81033,0.58767,0.42705,0.95176,0.0006536,0.0006536,0.0006536
19,11140.7,0.53538,0.38479,0.93819,0.95005,0.90888,0.94894,0.81952,0.55882,0.41298,0.93713,0.0005744,0.0005744,0.0005744
20,25682.7,0.51611,0.36937,0.92278,0.96994,0.88679,0.94809,0.81474,0.54329,0.39918,0.93359,0.0004952,0.0004952,0.0004952
21,26184.4,0.49852,0.35371,0.91315,0.96623,0.90203,0.95096,0.83422,0.53119,0.37903,0.92491,0.000416,0.000416,0.000416
22,26740.6,0.49121,0.34801,0.90894,0.97281,0.89773,0.9527,0.83825,0.51371,0.36886,0.91385,0.0003368,0.0003368,0.0003368
23,27369.8,0.47628,0.33571,0.90553,0.97866,0.89964,0.95281,0.83578,0.51653,0.36645,0.92017,0.0002576,0.0002576,0.0002576
24,27944.6,0.44658,0.31797,0.89412,0.97666,0.8999,0.95496,0.85001,0.48665,0.34727,0.91017,0.0001784,0.0001784,0.0001784
25,28517.3,0.44127,0.30968,0.89218,0.97426,0.90562,0.95391,0.84712,0.48621,0.34491,0.91008,9.92e-05,9.92e-05,9.92e-05
